Date;Text;Filename
2024-09-20;Introduction;https://charlotte-ngs.github.io/lbgfs2024/ohp/20240920_ohp_l01.pdf
2024-09-27;Basics of Quantitative Genetics;https://drive.google.com/file/d/12eV76mtz5nKxTJ1dvbfrq7vNb18D69Kf/view?usp=sharing
2024-10-04;Genotypic Values;https://drive.google.com/file/d/1TP2xgk0tPzpcmIFZeY2ft4Oud5Yqy3cL/view?usp=sharing
2024-10-11;Genotypic Value Decomposition;https://drive.google.com/file/d/1-6O9P8UgxEprypSFAuMPe828riJeXXXO/view?usp=sharing
2024-11-01;BLUP;https://drive.google.com/file/d/1-KN8uA4UeYKwXwS6KI84f4PQHVUh6zFR/view?usp=sharing
2024-11-08;Numerator Relationship Matrix;https://drive.google.com/file/d/1-NGBgxac6_x_qTvE7f0YyeIM9H4DIs-w/view?usp=sharing
2024-11-15;Inverse Numerator Relationship Matrix;https://drive.google.com/file/d/1-_Qr0xjS3JxRYWC9BGEeahqKXXWvswsY/view?usp=sharing
2024-11-22;Henderson's Rule;https://drive.google.com/file/d/1-RUMotCCUZjk10xGtsb1S3uouAvs32IU/view?usp=sharing
